Date;Credit_Portfolio_Total_BRL_mn;Credit_Portfolio_Corporate_BRL_mn;Credit_Portfolio_Retail_BRL_mn;Delinquency_15-90d_Total_%;Delinquency_15-90d_Corporate_%;Delinquency_15-90d_Retail_%;Interest_Rate_NonEarmarked_Corporate_%am;Interest_Rate_NonEarmarked_Retail_%am;Default_Rate_Personal_NonPayroll_%;Default_Rate_Personal_Payroll_Private_%;Default_Rate_Revolving_Credit_Card_%;Default_Rate__Corporate_SMBs_%;Default_Rate_Corporate_Large_%;Unemployment_Rate_PNADC_%;Inflation_IPC-Br_%;Net_Debt_FedGov_CenBank_%GDP;Net_Debt_Consolidated_%GDP;Primary_Result_YTD_ex-FX_BRL_mn
01/04/2017;3082414;1496040;1586373;4.6;2.53;6.55;1.97;4.34;8.11;4.57;34.41;6.55;1.74;13.7;0.12;35;47.48;-15105.52
01/05/2017;3077588;1480996;1596592;4.95;3.31;6.48;1.94;4.11;8.12;4.59;38.02;6.67;1.96;13.4;0.52;35.53;48.01;15630.91
01/06/2017;3090213;1485896;1604318;4.31;2.21;6.26;1.87;4.11;7.72;4.42;38.62;6.11;1.83;13.1;-0.32;35.92;48.44;35183.29
01/07/2017;3065064;1456057;1609007;4.46;2.36;6.36;1.9;4.19;7.69;4.36;39.42;6.79;1.38;12.9;0.38;37.27;49.69;51321.14
01/08/2017;3063766;1442958;1620808;4.45;2.44;6.23;1.84;4.12;8.02;4.3;38.97;6.78;1.45;12.7;0.13;37.7;50.1;60850.17
01/09/2017;3063640;1439429;1624211;4.7;3.04;6.16;1.75;3.92;7.86;4.23;38.22;6.49;1.4;12.5;-0.02;38.32;50.76;82109.62
01/10/2017;3068523;1432195;1636329;4.96;3.24;6.47;1.76;3.93;7.96;4.18;37.32;6.48;1.55;12.3;0.33;38.01;50.54;77352.04
01/11/2017;3080362;1429364;1650998;4.62;2.41;6.53;1.74;3.88;7.87;4.25;36.18;6.25;1.55;12.1;0.36;38.32;50.86;78261.22
01/12/2017;3105277;1445115;1660162;4.38;2.19;6.29;1.64;3.69;7.51;4.15;37.25;5.95;1.17;11.9;0.21;38.48;51.37;110582.68
01/01/2018;3080974;1410571;1670402;4.68;2.75;6.31;1.7;3.72;7.64;4.46;35.77;6.18;1.38;12.3;0.69;38.8;51.43;-46940.14
